"title","genres","vote_average","vote_count","director","popularity","cast","keywords","index"
"Intolerable Cruelty","Crime Comedy Romance",5.8,391,"Joel Coen",22.620125,"George Clooney Catherine Zeta-Jones Edward Herrmann Geoffrey Rush Richard Jenkins","california assassin infidelity fetish hitman",756
"Trouble with the Curve","Drama Romance",6.6,366,"Robert Lorenz",18.587114,"Clint Eastwood Amy Adams Justin Timberlake John Goodman Matthew Lillard","women baseball pitcher home run aging",757
"Edge of Darkness","Crime Drama Mystery Thriller",6.2,487,"Martin Campbell",24.657931,"Mel Gibson Ray Winstone Danny Huston Shawn Roberts Denis O'Hare","murder violence death of daughter homicide detective",758
"The Relic","Horror Mystery Thriller",5.8,130,"Peter Hyams",12.621769,"Penelope Ann Miller Tom Sizemore Linda Hunt James Whitmore Clayton Rohner","chicago based on novel monster museum pile of dead bodies",759
"Analyze That","Comedy Crime",5.7,380,"Harold Ramis",21.08952,"Robert De Niro Billy Crystal Lisa Kudrow Joe Viterelli Cathy Moriarty","prison gold therapist gangster",760
"Righteous Kill","Action Crime Drama Thriller",5.9,375,"Jon Avnet",18.380176000000002,"Robert De Niro Carla Gugino 50 Cent Al Pacino Donnie Wahlberg","revenge murder plot twist dirty cop",761
"Mercury Rising","Action Crime Drama Thriller",6,368,"Harold Becker",18.877795000000006,"Bruce Willis Alec Baldwin Miko Hughes Chi McBride Kim Dickens","assassin loss of family autism fbi bangkok",762
"The Soloist","Drama",6.6,234,"Joe Wright",17.299332999999994,"Robert Downey Jr. Jamie Foxx Catherine Keener Nelsan Ellis Michael Bunin","newspaper cello musical violin los angeles",763
"The Legend of Bagger Vance","Fantasy Drama",6.3,251,"Robert Redford",16.848899,"Matt Damon Bruce McGill Charlize Theron Will Smith Joel Gretsch","competition world war i great depression caddy savannah",764
"Almost Famous","Drama Music",7.4,797,"Cameron Crowe",21.547446,"Kate Hudson Billy Crudup Frances McDormand Jason Lee Patrick Fugit","hotel room san diego drug addiction stewardess overdose",765
"Garfield: A Tail of Two Kitties","Animation Comedy Family",5.1,464,"Tim Hill",16.930969,"Bill Murray Jennifer Love Hewitt Billy Connolly Ian Abercrombie Breckin Meyer","london england cat mistake in person luxury wretch",766
"xXx: State of the Union","Action Adventure Crime Drama Mystery",4.7,549,"Lee Tamahori",36.689223,"Ice Cube Samuel L. Jackson Willem Dafoe Scott Speedman Peter Strauss","washington d.c. helicopter usa president general coup d'etat",767
"Priest","Action Science Fiction Fantasy Thriller Horror",5.4,692,"Scott Stewart",28.350927000000002,"Paul Bettany Karl Urban Cam Gigandet Maggie Q Lily Collins","vampire crucifixion post-apocalyptic dystopia vampire hunter",768
"Sinbad: Legend of the Seven Seas","Family Animation Adventure",6.6,372,"Tim Johnson",18.815442,"Brad Pitt Catherine Zeta-Jones Michelle Pfeiffer Joseph Fiennes Dennis Haysbert","prince water monster",769
"Event Horizon","Horror Science Fiction Mystery",6.5,742,"Paul W.S. Anderson",29.787135,"Laurence Fishburne Sam Neill Kathleen Quinlan Joely Richardson Richard T. Jones","space marine nudity nightmare hallucination cryogenics",770
"Dragonfly","Drama",6.1,204,"Tom Shadyac",8.927137,"Kevin Costner Joe Morton Ron Rifkin Susanna Thompson Kathy Bates","pregnancy and birth voice dragonfly car crash jungle",771
"The Black Dahlia","Drama",5.7,287,"Brian De Palma",15.213484,"Josh Hartnett Scarlett Johansson Aaron Eckhart Hilary Swank Mia Kirshner","pornography observer los angeles murder hunt",772
"Flyboys","Action Adventure Drama History Romance",6.3,271,"Tony Bill",13.155999,"James Franco David Ellison Jean Reno Philip Winchester Abdul Salis","world war i biplane",773
"The Last Castle","Action Drama Thriller",7,285,"Rod Lurie",15.433244,"Robert Redford James Gandolfini Mark Ruffalo Steve Burton Delroy Lindo","prison general",774
"Supernova","Horror Science Fiction Thriller",4.9,109,"Walter Hill",5.762037,"James Spader Angela Bassett Robert Forster Lou Diamond Phillips Peter Facinelli","black people starships future star supernova",775
"Winter's Tale","Drama Fantasy Mystery Romance",6,487,"Akiva Goldsman",22.736038,"Colin Farrell Jessica Brown Findlay Russell Crowe William Hurt Jennifer Connelly","based on novel",776
"The Mortal Instruments: City of Bones","Action Adventure Drama Mystery Romance",6.2,1602,"Harald Zwart",45.514031,"Lily Collins Jamie Campbell Bower Kevin Zegers Jemima West Robert Sheehan","angel vampire werewolf warlock downworlder",777
"Meet Dave","Comedy Science Fiction Adventure Family",5,371,"Brian Robbins",18.676291,"Eddie Murphy Elizabeth Banks Gabrielle Union Scott Caan Ed Helms","new york captain starships new love earth",778
"Dark Water","Drama Horror Thriller",5.3,274,"Walter Salles",14.376463000000001,"Jennifer Connelly John C. Reilly Tim Roth Dougray Scott Pete Postlethwaite","based on novel water remake teacher divorce",779
"Edtv","Comedy",5.7,166,"Ron Howard",14.298297,"Matthew McConaughey Woody Harrelson Sally Kirkland Jenna Elfman Martin Landau","tv show tv station simulated reality  reality tv tv star",780
"Inkheart","Adventure Family Fantasy",6,592,"Iain Softley",27.018886,"Brendan Fraser Sienna Guillory Andy Serkis Eliza Bennett Paul Bettany","book fairy tale eavesdropping adventure writer's block",781
"The Spirit","Action Comedy Thriller Crime Science Fiction",4.7,320,"Frank Miller",14.84856,"Gabriel Macht Scarlett Johansson Samuel L. Jackson Eva Mendes Paz Vega","secret identity robber mask frog based on comic strip",782
"Mortdecai","Comedy Adventure",5.4,1055,"David Koepp",52.417528999999995,"Johnny Depp Gwyneth Paltrow Ewan McGregor Paul Bettany Olivia Munn","based on novel painting debt art dealer stolen painting",783
"In the Name of the King: A Dungeon Siege Tale","Adventure Fantasy Action Drama",4.1,224,"Uwe Boll",15.406173,"Jason Statham John Rhys-Davies Ray Liotta Leelee Sobieski Burt Reynolds","fictional place monster loss of family new love hero",784
"Beyond Borders","Drama Romance Adventure War",6.7,110,"Martin Campbell",6.523472,"Angelina Jolie Clive Owen Teri Polo Linus Roache Noah Emmerich","london england cia landmine love of one's life cambodia",785
"The Monkey King 2","Action Adventure Fantasy",6,24,"Soi Cheang",4.7262900000000005,"Aaron Kwok Gong Li William Feng Xiao Shen Yang Him Law","monkey king",786
"The Great Raid","Action History War",6.8,91,"John Dahl",8.923214999999997,"Benjamin Bratt James Franco Connie Nielsen Marton Csokas Joseph Fiennes","based on novel world war ii prisoners of war narration archive footage",787
"Deadpool","Action Adventure Comedy",7.4,10995,"Tim Miller",514.5699559999998,"Ryan Reynolds Morena Baccarin Ed Skrein T.J. Miller Gina Carano","anti hero mercenary marvel comic superhero based on comic book",788
"Holy Man","Drama Comedy",4.9,111,"Stephen Herek",9.265672,"Eddie Murphy Jeff Goldblum Kelly Preston Robert Loggia Jon Cryer","salesclerk television tv ratings guru television producer",789
"American Sniper","War Action",7.4,4469,"Clint Eastwood",87.53437,"Bradley Cooper Sienna Miller Kyle Gallner Cole Konis Ben Reed","sniper biography iraq navy seal u.s. soldier",790
"Goosebumps","Adventure Horror Comedy",6.2,995,"Rob Letterman",45.351617,"Jack Black Dylan Minnette Odeya Rush Amy Ryan Jillian Bell","based on novel magic fantasy werewolf family",791
"Just Like Heaven","Comedy Fantasy Romance",6.5,579,"Mark Waters",13.43573,"Reese Witherspoon Mark Ruffalo Donal Logue Dina Spybey-Waters Ben Shenkman","coma based on novel workaholic flirt architect",792
"The Flintstones in Viva Rock Vegas","Science Fiction Comedy Family Romance",4.4,134,"Brian Levant",6.248309,"Mark Addy Stephen Baldwin Kristen Johnston Jane Krakowski Joan Collins","waitress marriage proposal flirt stone age best friend",793
"Rambo III","Action Adventure Thriller War",5.7,690,"Peter MacDonald",31.294717,"Sylvester Stallone Richard Crenna Kurtwood Smith Spiros Foc\u00e1s Sasson Gabai","competition submachine gun soviet union liberation russian",794
"Leatherheads","Comedy Romance Drama",5.7,130,"George Clooney",7.7392759999999985,"George Clooney Ren\u00e9e Zellweger John Krasinski Wayne Duvall Stephen Root","american football sports team stadium hero success",795
"The Ridiculous 6","Comedy Western",4.9,388,"Frank Coraci",19.694695,"Adam Sandler Taylor Lautner Steve Buscemi Terry Crews Danny Trejo","wild west",796
"Did You Hear About the Morgans?","Comedy",5.1,276,"Marc Lawrence",14.403696,"Hugh Grant Sarah Jessica Parker Mary Steenburgen Sam Elliott Natalia Klimas","witness protection comedy duringcreditsstinger",797
"The Internship","Comedy",6.1,1658,"Shawn Levy",1.551497,"Owen Wilson Vince Vaughn Rose Byrne Max Minghella Aasif Mandvi","job interview loss of job intern reference to google new job",798
"Resident Evil: Afterlife","Action Adventure Horror Science Fiction",5.8,1363,"Paul W.S. Anderson",2.143764,"Milla Jovovich Wentworth Miller Ali Larter Kim Coates Kacey Clarke","post-apocalyptic dystopia undead biohazard evil corporation",799
"Red Tails","Drama Action Adventure History War",5.9,178,"Anthony Hemingway",12.29603,"Bryan Cranston David Oyelowo Cuba Gooding Jr. Daniela Ruah Terrence Howard","world war ii fighter pilot fighter plane",800
"The Devil's Advocate","Drama Horror Mystery Thriller",7.2,1374,"Taylor Hackford",33.8473,"Keanu Reeves Al Pacino Charlize Theron Jeffrey Jones Judith Ivey","child abuse southern usa obsession subway nudity",801
"That's My Boy","Comedy",5.5,453,"Sean Anders",21.723897,"Adam Sandler Susan Sarandon Eva Amurri Martino Leighton Meester Andy Samberg","deadbeat dad cheating fianc\u00e9e teacher student sex brother sister incest",802
"DragonHeart","Fantasy",6.4,535,"Rob Cohen",31.791978999999998,"Dennis Quaid David Thewlis Pete Postlethwaite Dina Meyer Julie Christie","magic kingdom despot immortality village",803
"After the Sunset","Action Comedy Crime Drama",6,226,"Brett Ratner",14.113066,"Pierce Brosnan Salma Hayek Woody Harrelson Troy Garity Russell Hornsby","bahamas master thief crook couple",804
"Ghost Rider: Spirit of Vengeance","Action Fantasy Thriller",4.7,1135,"Brian Taylor",48.622278,"Nicolas Cage Ciar\u00e1n Hinds Violante Placido Fergus Riordan Johnny Whitworth","monk eastern europe skeleton biker marvel comic",805
"Captain Corelli's Mandolin","Drama History Romance",5.5,145,"John Madden",9.061866,"Nicolas Cage Pen\u00e9lope Cruz John Hurt Christian Bale Irene Papas","officer greek island mandolin italian soldier resistance fighter",806
"The Pacifier","Action Comedy Drama Family Thriller",5.8,842,"Adam Shankman",35.4763,"Vin Diesel Lauren Graham Faith Ford Chris Potter Brittany Snow","bodybuilder children body guard scientist family",807
"Walking Tall","Adventure Drama Action Thriller",6,381,"Kevin Bray",23.438398,"Dwayne Johnson Johnny Knoxville Neal McDonough Kristen Wilson Cobie Smulders","casino sheriff home violence special forces",808
"Forrest Gump","Comedy Drama Romance",8.2,7927,"Robert Zemeckis",138.133331,"Tom Hanks Robin Wright Gary Sinise Mykelti Williamson Sally Field","vietnam veteran hippie mentally disabled running based on novel",809
"Alvin and the Chipmunks","Comedy Music Family Fantasy Animation",5.5,1177,"Tim Hill",47.33603400000001,"Jason Lee David Cross Cameron Richardson Jane Lynch Justin Long","pop pop star record producer surprise approach",810
"Meet the Parents","Comedy Romance",6.6,1698,"Jay Roach",29.97224000000001,"Ben Stiller Robert De Niro Teri Polo Blythe Danner Owen Wilson","cia airport cat jew orderly",811
"Pocahontas","Adventure Animation Drama Family",6.7,1457,"Mike Gabriel",47.845589000000004,"Irene Bedard Mel Gibson David Ogden Stiers John Kassir Russell Means","culture clash settler forbidden love colony musical",812
"Superman","Action Adventure Fantasy Science Fiction",6.9,1022,"Richard Donner",48.507081,"Christopher Reeve Marlon Brando Margot Kidder Gene Hackman Ned Beatty","saving the world journalist dc comics crime fighter nuclear missile",813
"The Nutty Professor","Fantasy Comedy Romance Science Fiction",5.4,702,"Tom Shadyac",20.28119,"Eddie Murphy Jada Pinkett Smith James Coburn Larry Miller Dave Chappelle","overweight overweight man duringcreditsstinger",814
"Hitch","Comedy Drama Romance",6.4,1665,"Andy Tennant",34.576913,"Will Smith Eva Mendes Kevin James Amber Valletta Julie Ann Emery","speed date romantic comedy dating",815
"George of the Jungle","Adventure Comedy Family Romance",5.4,496,"Sam Weisman",22.573237,"Brendan Fraser Leslie Mann Thomas Haden Church John Cleese Richard Roundtree","africa san francisco gorilla lion feral child",816
"American Wedding","Comedy Romance",6,1129,"Jesse Dylan",36.194802,"Jason Biggs Alyson Hannigan Seann William Scott Eddie Kaye Thomas Thomas Ian Nicholas","handcuffs sister sister relationship spanner blow job stag night",817
"Captain Phillips","Action Drama Thriller",7.6,2454,"Paul Greengrass",52.786917,"Tom Hanks Catherine Keener Max Martini Chris Mulkey Yul Vazquez","ship hijacking somalia fisherman blood",818
"Date Night","Comedy",5.9,1122,"Shawn Levy",38.061679999999996,"Tina Fey Steve Carell Mark Wahlberg Taraji P. Henson Jimmi Simpson","date corruption taxi expensive restaurant wife husband relationship",819
"Casper","Fantasy Comedy Family",6,1019,"Brad Silberling",19.830132,"Christina Ricci Bill Pullman Cathy Moriarty Eric Idle Joe Nipote","halloween friendship supernatural afterlife friends",820
"The Equalizer","Thriller Action Crime",7.1,2954,"Antoine Fuqua",79.92205899999998,"Denzel Washington Marton Csokas Chlo\u00eb Grace Moretz David Harbour Haley Bennett","corruption assassin hostage fbi hitman",821
"Maid in Manhattan","Comedy Drama Romance",5.6,485,"Wayne Wang",19.738215,"Jennifer Lopez Ralph Fiennes Natasha Richardson Stanley Tucci Tyler Posey","hotel politician mistaken identity maid class differences",822
"Crimson Tide","Action Thriller Drama",7,498,"Tony Scott",20.334629,"Denzel Washington Gene Hackman Matt Craven George Dzundza Viggo Mortensen","submarine mutiny russia missile nuclear missile",823
"The Pursuit of Happyness","Drama",7.7,2525,"Gabriele Muccino",80.581367,"Will Smith Jaden Smith Thandie Newton Brian Howe James Karen","san francisco single parent homeless person bus worker",824
"Flightplan","Thriller Drama Mystery",6.1,772,"Robert Schwentke",32.05145,"Jodie Foster Peter Sarsgaard Sean Bean Kate Beahan Michael Irby","berlin loss of father airplane baby-snatching",825
"Disclosure","Drama Thriller Crime Mystery Romance",5.9,210,"Barry Levinson",15.064058,"Michael Douglas Demi Moore Donald Sutherland Dylan Baker Jacqueline Kim","employee workplace sexual harassment intrigue",826
"City of Angels","Drama Fantasy Romance",6.4,529,"Brad Silberling",21.272734,"Nicolas Cage Meg Ryan Andre Braugher Dennis Franz Colm Feore","suicide angel life and death desperation operation",827
"Kill Bill: Vol. 1","Action Crime",7.7,4949,"Quentin Tarantino",79.75496600000002,"Uma Thurman Lucy Liu Vivica A. Fox Daryl Hannah David Carradine","japan coma martial arts kung fu underworld",828
"Bowfinger","Comedy",6,254,"Frank Oz",13.191829,"Steve Martin Eddie Murphy Heather Graham Christine Baranski Jamie Kennedy","film producer film director movie studio hollywood filmmaking",829
"Kill Bill: Vol. 2","Action Crime Thriller",7.6,3948,"Quentin Tarantino",50.622607,"Uma Thurman David Carradine Daryl Hannah Michael Madsen Gordon Liu Chia-Hui","brother brother relationship swordplay katana mother role rage and hate",830
"Tango & Cash","Action Adventure Comedy",6.1,458,"Andrei Konchalovsky",22.78766700000001,"Sylvester Stallone Kurt Russell Teri Hatcher Jack Palance Brion James","prisoner war on drugs los angeles",831
"Death Becomes Her","Fantasy Comedy",6.3,636,"Robert Zemeckis",29.498303999999997,"Meryl Streep Bruce Willis Goldie Hawn Isabella Rossellini Ian Ogilvy","jealousy beauty immortality rivalry potion",832
"Shanghai Noon","Adventure Action Comedy Western",6.2,735,"Tom Dey",25.400935,"Jackie Chan Owen Wilson Lucy Liu Xander Berkeley Roger Yuan","princess sioux travel rescue native american",833
"Executive Decision","Action Adventure Drama Thriller",5.8,256,"Stuart Baird",17.231675,"Kurt Russell Steven Seagal Halle Berry John Leguizamo Oliver Platt","bomb ransom hostage airplane hijacking",834
"Mr. Popper's Penguins","Comedy Family",5.7,751,"Mark Waters",32.835777,"Jim Carrey Carla Gugino Madeline Carroll Angela Lansbury Ophelia Lovibond","taxi restaurant zoo penguin ex husband",835
"The Forbidden Kingdom","Action Adventure Fantasy",6.3,461,"Rob Minkoff",17.097041,"Jackie Chan Jet Li Michael Angarano Liu Yifei Li Bingbing","tempel shaolin teenager urination staff",836
"Free Birds","Animation Comedy Family",5.7,254,"Jimmy Hayward",14.414937,"Owen Wilson Woody Harrelson Amy Poehler George Takei Colm Meaney","holiday thanksgiving freedom duringcreditsstinger 3d",837
"Alien³","Science Fiction Action Horror",6.2,1633,"David Fincher",45.856409,"Sigourney Weaver Charles S. Dutton Charles Dance Pete Postlethwaite Ralph Brown","prison android spacecraft space marine imprisonment",838
"Evita","History Drama Music",5.9,120,"Alan Parker",7.027139,"Madonna Antonio Banderas Jonathan Pryce Jimmy Nail Victoria Sus","prostitute deification dancehall hostess per\u00f3nism argentine president",839
"Ronin","Action Thriller Crime Adventure",6.7,658,"John Frankenheimer",32.657488,"Robert De Niro Jean Reno Natascha McElhone Stellan Skarsg\u00e5rd Sean Bean","paris france arms deal audi impostor",840
"The Ghost and the Darkness","Adventure",6.4,236,"Stephen Hopkins",12.46525,"Michael Douglas Val Kilmer Tom Wilkinson John Kani Emily Mortimer","africa lion bridge based on true story kenya",841
"Paddington","Family Comedy",7,883,"Paul King",39.882276,"Nicole Kidman Peter Capaldi Ben Whishaw Michael Gambon Imelda Staunton","england train station based on novel bear anthropomorphism",842
"The Watch","Comedy",5.3,881,"Akiva Schaffer",39.395881,"Ben Stiller Vince Vaughn Jonah Hill Richard Ayoade Rosemarie DeWitt","usa sterility castration marriage friendship",843
"The Hunted","Drama Action Thriller Crime",6,189,"William Friedkin",8.634953999999999,"Tommy Lee Jones Benicio del Toro Connie Nielsen Leslie Stefanson John Finn","hunter fbi knife balkan war woods",844
"Instinct","Drama Mystery Thriller",6.2,146,"Jon Turteltaub",7.386394,"Anthony Hopkins Cuba Gooding Jr. Donald Sutherland Maura Tierney George Dzundza","prison gorilla research instinct murder",845
"Stuck on You","Comedy",5.1,188,"Bobby Farrelly",8.802525,"Matt Damon Greg Kinnear Eva Mendes Wen Yann Shih Seymour Cassel","sex dancer martial arts cook stripper",846
"Semi-Pro","Comedy",5.4,251,"Kent Alterman",10.449975,"Will Ferrell Maura Tierney Woody Harrelson David Koechner Will Arnett","sport basketball flint michigan nba merger",847
"The Pirates! In an Adventure with Scientists!","Animation Adventure Family Comedy",6.4,374,"Peter Lord",23.700758999999998,"Hugh Grant Brendan Gleeson Jeremy Piven Brian Blessed Salma Hayek","rivalry stop motion pirate aftercreditsstinger duringcreditsstinger",848
"Changeling","Crime Drama Mystery",7.3,1131,"Clint Eastwood",27.509159999999998,"Angelina Jolie Jeffrey Donovan John Malkovich Geoff Pierson Amy Ryan","corruption mother nudity minister power",849
"Chain Reaction","Action Drama Science Fiction Thriller",5.3,284,"Andrew Davis",20.588620000000002,"Keanu Reeves Morgan Freeman Rachel Weisz Fred Ward Kevin Dunn","fbi hydrogen bomb secret lab energy supply conspiracy",850
"The Fan","Drama Mystery Thriller",5.7,194,"Tony Scott",4.3664879999999995,"Robert De Niro Wesley Snipes Ellen Barkin John Leguizamo Benicio del Toro","sport luck san francisco giants child custody baseball pitcher",851
"The Phantom of the Opera","Thriller Drama Romance",7,438,"Joel Schumacher",18.927463,"Gerard Butler Emmy Rossum Patrick Wilson Miranda Richardson Minnie Driver","dancing obsession auction wheelchair rose",852
"Elizabeth: The Golden Age","Drama History Romance",6.6,303,"Shekhar Kapur",15.274137,"Cate Blanchett Clive Owen Geoffrey Rush Laurence Fox Tom Hollander","england assassination spain virgin colony",853
"Æon Flux","Action Science Fiction",5.4,703,"Karyn Kusama",29.954302000000002,"Charlize Theron Marton Csokas Jonny Lee Miller Sophie Okonedo Frances McDormand","martial arts dystopia surrealism based on cartoon shootout",854
"Gods and Generals","Drama History War",6.1,48,"Ronald F. Maxwell",4.362535,"Stephen Lang Jeff Daniels Robert Duvall Kevin Conway C. Thomas Howell","war battle union soldier confederate soldier american civil war",855
"Turbulence","Action Thriller Crime",5.2,62,"Robert Butler",4.700024,"Ray Liotta Lauren Holly Brendan Gleeson H\u00e9ctor Elizondo Rachel Ticotin","stewardess airplane shootout air marshal christmas",856
"Imagine That","Comedy",5.7,134,"Karey Kirkpatrick",12.340384,"Eddie Murphy Thomas Haden Church Yara Shahidi Ronny Cox Stephen Rannazzisi","undefined",857
"Muppets Most Wanted","Comedy Adventure Crime Family",6.2,316,"James Bobin",14.808304000000001,"Ricky Gervais Ty Burrell Tina Fey Steve Whitmire Eric Jacobson","musical the muppets",858
"Thunderbirds","Action Adventure Comedy Family Fantasy",4.2,91,"Jonathan Frakes",9.27875,"Brady Corbet Soren Fulton Debora Weston Lou Hirsch Alex Barringer","secret organization based on tv series golden gate bridge locker oil rig\u00a0",859
"Burlesque","Drama Romance",6.9,573,"Steve Antin",22.863516,"Cher Christina Aguilera Eric Dane Cam Gigandet Julianne Hough","musical los angeles burlesque burlesque dancer",860
"A Very Long Engagement","Drama",7.1,346,"Jean-Pierre Jeunet",23.05451,"Audrey Tautou Gaspard Ulliel Dominique Pinon Chantal Neuwirth Andr\u00e9 Dussollier","paris prostitute loss of lover amnesia bodily disabled person",861
"Lolita","Drama Romance",7.3,395,"Stanley Kubrick",23.962108999999998,"James Mason Sue Lyon Shelley Winters Peter Sellers Lois Maxwell","sexual obsession hotel depression loss of mother small town",862
"D-Tox","Action Thriller",5.3,123,"Jim Gillespie",12.669777999999999,"Sylvester Stallone Courtney B. Vance Tom Berenger Charles S. Dutton Jeffrey Wright","alcoholism serial killer hospital police officer detox",863
"Blade II","Fantasy Horror Action Thriller",6.2,1528,"Guillermo del Toro",67.16958699999999,"Wesley Snipes Kris Kristofferson Ron Perlman Leonor Varela Norman Reedus","katana mutation vampire silver superhero",864
"Seven Pounds","Drama",7.5,2039,"Gabriele Muccino",41.472404,"Will Smith Rosario Dawson Sarah Jane Morris Woody Harrelson Michael Ealy","vegetarian tax collector pianist blind organ transplant",865
"Bullet to the Head","Action Crime Thriller",5.2,481,"Walter Hill",22.503935000000002,"Sylvester Stallone Sung Kang Sarah Shahi Adewale Akinnuoye-Agbaje Jason Momoa","undefined",866
"The Godfather: Part III","Crime Drama Thriller",7.1,1546,"Francis Ford Coppola",59.194915,"Al Pacino Diane Keaton Andy Garc\u00eda Talia Shire Sofia Coppola","italy christianity new york assassination italo-american",867
"Elizabethtown","Comedy Drama Romance",6.1,327,"Cameron Crowe",22.894898,"Orlando Bloom Kirsten Dunst Susan Sarandon Alec Baldwin Bruce McGill","suicide hotel room suicide attempt new love funeral",868
"You, Me and Dupree","Comedy Romance",5.4,407,"Anthony Russo",18.600367000000002,"Kate Hudson Owen Wilson Matt Dillon Michael Douglas Seth Rogen","roommate love of one's life newlywed",869
"Superman II","Action Adventure Fantasy Science Fiction",6.5,629,"Richard Lester",30.515175,"Gene Hackman Christopher Reeve Ned Beatty Jackie Cooper Sarah Douglas","saving the world dc comics sequel superhero based on comic book",870
"Gigli","Drama",3.5,104,"Martin Brest",9.053456,"Ben Affleck Jennifer Lopez Justin Bartha Lainie Kazan Lenny Venito","new york mentally disabled kidnapping blackmail mission of murder",871
"All the King's Men","Drama Thriller",5.7,95,"Steven Zaillian",7.768223,"Sean Penn Jude Law Kate Winslet James Gandolfini Patricia Clarkson","corruption journalist based on novel blackmail manipulation",872
"Shaft","Action Adventure Crime Thriller",5.5,308,"John Singleton",19.643365,"Samuel L. Jackson Jeffrey Wright Christian Bale Busta Rhymes Dan Hedaya","corruption black people italo-american brother sister relationship drug dealer",873
"Anastasia","Animation Family",7.4,1432,"Gary Goldman",45.565917999999996,"Meg Ryan John Cusack Christopher Lloyd Angela Lansbury Hank Azaria","tzar musical russian revolution train explosion foreign language adaptation",874
"Moulin Rouge!","Drama Music Romance",7.4,1300,"Baz Luhrmann",57.374341,"Nicole Kidman Ewan McGregor John Leguizamo Jim Broadbent Richard Roxburgh","duke musical writer's block music terminal illness",875
"Domestic Disturbance","Mystery Thriller Crime",5.4,113,"Harold Becker",8.418560000000001,"John Travolta Vince Vaughn Teri Polo Matt O'Leary Steve Buscemi","menace adoption dangerous adoptive father threat to death",876
"Black Mass","Crime Drama",6.3,1242,"Scott Cooper",46.049902,"Johnny Depp Joel Edgerton Benedict Cumberbatch Dakota Johnson Kevin Bacon","boston based on true story organized crime",877
"Flags of Our Fathers","War Drama History",6.7,526,"Clint Eastwood",23.9366,"Ryan Phillippe Adam Beach Jesse Bradford John Benjamin Hickey John Slattery","world war ii dying and death pacific iwo jima aftercreditsstinger",878
"Law Abiding Citizen","Drama Crime Thriller",7.2,1486,"F. Gary Gray",49.593978,"Jamie Foxx Gerard Butler Colm Meaney Bruce McGill Leslie Bibb","tattoo secret passage baseball bat deal explosion",879
"Grindhouse","Thriller Action Horror",6.8,459,"Robert Rodriguez",16.637642,"Kurt Russell Zo\u00eb Bell Rosario Dawson Vanessa Ferlito Sydney Tamiia Poitier","exploitation slasher zombie killer",880
"Beloved","Drama Thriller",5.9,26,"Jonathan Demme",1.453765,"Oprah Winfrey Danny Glover Thandie Newton Lisa Gay Hamilton Albert Hall","undefined",881
"Lucky You","Drama Romance",5.4,81,"Curtis Hanson",6.162872,"Eric Bana Drew Barrymore Robert Duvall Debra Messing Robert Downey Jr.","poker sport las vegas",882
"Catch Me If You Can","Drama Crime",7.7,3795,"Steven Spielberg",73.94404899999998,"Leonardo DiCaprio Tom Hanks Christopher Walken Martin Sheen Nathalie Baye","con man biography fbi agent overhead camera shot attempted jailbreak",883
"Zero Dark Thirty","Thriller Drama History",6.7,1702,"Kathryn Bigelow",38.306954,"Jessica Chastain Jason Clarke Mark Strong Joel Edgerton Chris Pratt","assassination cia hotel terrorist prisoner",884
"The Break-Up","Romance Comedy",5.6,832,"Peyton Reed",26.251216999999997,"Vince Vaughn Jennifer Aniston Joey Lauren Adams Cole Hauser Jon Favreau","bowling chicago american football flat baseball",885
"Mamma Mia!","Comedy Romance",6.4,1386,"Phyllida Lloyd",30.780599,"Meryl Streep Pierce Brosnan Amanda Seyfried Colin Firth Stellan Skarsg\u00e5rd","single parent greece musical daughter single",886
"Valentine's Day","Comedy Romance",5.7,1013,"Garry Marshall",25.41929,"Jessica Alba Jessica Biel Bradley Cooper Eric Dane Patrick Dempsey","flower married couple florist kiss single",887
"The Dukes of Hazzard","Action Adventure Comedy",5.1,316,"Jay Chandrasekhar",15.982120000000002,"Johnny Knoxville Seann William Scott Jessica Simpson Willie Nelson Burt Reynolds","sheriff farm bikini redneck moonshine",888
"The Thin Red Line","Drama History War",7.2,771,"Terrence Malick",40.072583,"Sean Penn Adrien Brody Jim Caviezel Ben Chaplin George Clooney","based on novel japanese world war ii battle assignment invasion",889
"The Change-Up","Comedy",5.9,736,"David Dobkin",32.015477000000004,"Olivia Wilde Ryan Reynolds Jason Bateman Leslie Mann Mircea Monroe","jealousy chance wish change man change",890
"Man on the Moon","Comedy Drama Romance",6.9,435,"Milo\u0161 Forman",24.444186,"Jim Carrey Courtney Love Bob Zmuda Danny DeVito Gerry Becker","show business comedian wrestling",891
"Casino","Drama Crime",7.8,1307,"Martin Scorsese",40.06688,"Robert De Niro Sharon Stone Joe Pesci James Woods Don Rickles","poker drug abuse 1970s overdose illegal prostitution",892
"From Paris with Love","Action Crime Thriller",6.1,675,"Pierre Morel",27.916284,"John Travolta Jonathan Rhys Meyers Kasia Smutniak Richard Durden Bing Yin","paris cia undercover explosive pimp",893
"Bulletproof Monk","Action Comedy Fantasy",5.1,278,"Paul Hunter",15.207070000000002,"Seann William Scott Jaime King Karel Roden Chow Yun-fat K. C. Collins","monk homeless person injection fall knife fight",894
"Me, Myself & Irene","Comedy",6.1,927,"Bobby Farrelly",39.001682,"Jim Carrey Ren\u00e9e Zellweger Anthony Anderson Robert Forster Richard Jenkins","schizophrenia ex-cop aftercreditsstinger duringcreditsstinger",895
